NAMESPACE                      DEPLOYMENT                                         CONTAINERS                CPU_REQ      CPU_LIM      MEM_REQ      MEM_LIM     
api                            ts-primary                                         ts-third-party-log        20m          60m          15Mi         60Mi        
api                            ts-primary                                         ts-access-log             10m          30m          20Mi         60Mi        
api                            ts-primary                                         ts-all-json-log           1m           10m          6Mi          60Mi        
api                            ts-primary                                         ts-push-notifications-log 1m           10m          6Mi          60Mi        
api                            ts-primary                                         ts-tasks-log              1m           10m          6Mi          60Mi        
api                            ts-primary                                         task-launch-log           1m           10m          6Mi          60Mi        
api                            ts-primary                                         task-process-log          1m           10m          6Mi          60Mi        
api                            ts-primary                                         ts-shoppingcart-log       10m          30m          20Mi         60Mi        
api                            ts-spring-web                                      app                       1            4            2000Mi       2000Mi      
api                            ts-spring-web                                      ts-app-container-log      1m           10m          6Mi          60Mi        
api                            ts-spring-web                                      ts-third-party-log        20m          60m          15Mi         60Mi        
api                            ts-spring-web                                      ts-access-log             10m          30m          20Mi         60Mi        
api                            ts-spring-web                                      ts-all-json-log           1m           10m          6Mi          60Mi        
api                            ts-spring-web                                      ts-push-notifications-log 1m           10m          6Mi          60Mi        
api                            ts-spring-web                                      ts-tasks-log              1m           10m          6Mi          60Mi        
api                            ts-spring-web                                      task-launch-log           1m           10m          6Mi          60Mi        
api                            ts-spring-web                                      task-process-log          1m           10m          6Mi          60Mi        
api                            ts-spring-web                                      ts-shoppingcart-log       10m          30m          20Mi         60Mi        
api                            ts-spring-web-primary                              app                       1            4            2000Mi       2000Mi      
api                            ts-spring-web-primary                              ts-app-container-log      1m           10m          6Mi          60Mi        
api                            ts-spring-web-primary                              ts-third-party-log        20m          60m          15Mi         60Mi        
api                            ts-spring-web-primary                              ts-access-log             10m          30m          20Mi         60Mi        
api                            ts-spring-web-primary                              ts-all-json-log           1m           10m          6Mi          60Mi        
api                            ts-spring-web-primary                              ts-push-notifications-log 1m           10m          6Mi          60Mi        
api                            ts-spring-web-primary                              ts-tasks-log              1m           10m          6Mi          60Mi        
api                            ts-spring-web-primary                              task-launch-log           1m           10m          6Mi          60Mi        
api                            ts-spring-web-primary                              task-process-log          1m           10m          6Mi          60Mi        
api                            ts-spring-web-primary                              ts-shoppingcart-log       10m          30m          20Mi         60Mi        
api                            ts-worker                                          app                       1500m        5            3200Mi       3200Mi      
api                            ts-worker                                          ts-app-container-log      1m           10m          6Mi          60Mi        
api                            ts-worker                                          ts-third-party-log        20m          60m          15Mi         60Mi        
api                            ts-worker                                          ts-access-log             2m           20m          6Mi          60Mi        
api                            ts-worker                                          ts-all-json-log           1m           10m          6Mi          60Mi        
api                            ts-worker                                          ts-push-notifications-log 1m           10m          6Mi          60Mi        
api                            ts-worker                                          ts-tasks-log              1m           10m          6Mi          60Mi        
api                            ts-worker                                          task-launch-log           1m           10m          6Mi          60Mi        
api                            ts-worker                                          task-process-log          1m           10m          6Mi          60Mi        
api                            ts-worker                                          ts-shoppingcart-log       2m           20m          6Mi          60Mi        
api                            ts-worker-primary                                  app                       1500m        5            3200Mi       3200Mi      
api                            ts-worker-primary                                  ts-app-container-log      1m           10m          6Mi          60Mi        
api                            ts-worker-primary                                  ts-third-party-log        20m          60m          15Mi         60Mi        
api                            ts-worker-primary                                  ts-access-log             2m           20m          6Mi          60Mi        
api                            ts-worker-primary                                  ts-all-json-log           1m           10m          6Mi          60Mi        
api                            ts-worker-primary                                  ts-push-notifications-log 1m           10m          6Mi          60Mi        
api                            ts-worker-primary                                  ts-tasks-log              1m           10m          6Mi          60Mi        
api                            ts-worker-primary                                  task-launch-log           1m           10m          6Mi          60Mi        
api                            ts-worker-primary                                  task-process-log          1m           10m          6Mi          60Mi        
api                            ts-worker-primary                                  ts-shoppingcart-log       2m           20m          6Mi          60Mi        
api                            users                                              app                       1500m        4            2250Mi       2250Mi      
api                            users                                              features-audit-log        1m           10m          6Mi          60Mi        
api                            users                                              btg-log                   2m           20m          6Mi          60Mi        
api                            users-consumer                                     app                       100m         4            1200Mi       1700Mi      
api                            users-consumer                                     features-audit-log        1m           10m          6Mi          60Mi        
api                            users-consumer                                     btg-log                   2m           20m          6Mi          60Mi        
api                            users-consumer-primary                             app                       100m         4            1200Mi       1700Mi      
api                            users-consumer-primary                             features-audit-log        1m           10m          6Mi          60Mi        
api                            users-consumer-primary                             btg-log                   2m           20m          6Mi          60Mi        
api                            users-primary                                      app                       1500m        4            2250Mi       2250Mi      
api                            users-primary                                      features-audit-log        1m           10m          6Mi          60Mi        
api                            users-primary                                      btg-log                   2m           20m          6Mi          60Mi        
api                            users-worker                                       app                       1            4            2000Mi       2000Mi      
api                            users-worker                                       btg-log                   2m           20m          6Mi          60Mi        
api                            users-worker-primary                               app                       1            4            2000Mi       2000Mi      
api                            users-worker-primary                               btg-log                   2m           20m          6Mi          60Mi        
api                            wallet                                             app                       100m         8            800Mi        1000Mi      
api                            wallet                                             accounts-stats-log        2m           20m          6Mi          60Mi        
api                            wallet                                             movements-stats-log       2m           20m          6Mi          60Mi        
api                            wallet-primary                                     app                       100m         8            800Mi        1000Mi      
api                            wallet-primary                                     accounts-stats-log        2m           20m          6Mi          60Mi        
api                            wallet-primary                                     movements-stats-log       2m           20m          6Mi          60Mi        
api                            web                                                app                       40m          4            100Mi        4Gi         
api                            web                                                web-app-log               1m           10m          6Mi          60Mi        
api                            web-primary                                        app                       40m          4            100Mi        4Gi         
api                            web-primary                                        web-app-log               1m           10m          6Mi          60Mi        
api                            whatsapp                                           app                       100m         4            640Mi        1000Mi      
api                            whatsapp-primary                                   app                       100m         4            640Mi        1000Mi      
arturito-dev                   recargapay-app                                     app                       100m         500m         128Mi        512Mi       
cert-manager                   cert-manager                                       cert-manager-controller   -            -            -            -           
cert-manager                   cert-manager-cainjector                            cert-manager-cainjector   -            -            -            -           
cert-manager                   cert-manager-webhook                               cert-manager-webhook      -            -            -            -           
external-secrets               external-secrets                                   external-secrets          -            -            -            -           
external-secrets               external-secrets-cert-controller                   cert-controller           -            -            -            -           
external-secrets               external-secrets-webhook                           webhook                   -            -            -            -           
flagger                        flagger                                            flagger                   10m          1            32Mi         512Mi       
flagger                        flagger-loadtester                                 loadtester                10m          -            64Mi         -           
flux-system                    helm-controller                                    manager                   100m         1            64Mi         1Gi         
flux-system                    image-automation-controller                        manager                   100m         1            64Mi         1Gi         
flux-system                    image-reflector-controller                         manager                   100m         1            64Mi         1Gi         
flux-system                    kustomize-controller                               manager                   100m         1            64Mi         1Gi         
flux-system                    notification-controller                            manager                   100m         1            64Mi         1Gi         
flux-system                    source-controller                                  manager                   50m          1            64Mi         1Gi         
istio-system                   grafana                                            grafana                   -            -            -            -           
istio-system                   istio-ingressgateway                               istio-proxy               50m          2            128Mi        1Gi         
istio-system                   istio-ingressgateway-internal                      istio-proxy               50m          2            128Mi        1Gi         
istio-system                   istio-ingressgateway-private-vpn                   istio-proxy               50m          2            128Mi        1Gi         
istio-system                   istio-ingressgateway-web                           istio-proxy               50m          2            128Mi        1Gi         
istio-system                   istiod                                             discovery                 190m         -            280Mi        -           
istio-system                   jaeger                                             jaeger                    10m          -            -            -           
istio-system                   kiali                                              kiali                     10m          -            64Mi         1Gi         
istio-system                   prometheus                                         prometheus-server         2            -            10Gi         -           
istio-system                   prometheus                                         prometheus-server-configmap-reload -            -            -            -           
istio-system                   ratelimit                                          ratelimit                 20m          3            30Mi         200Mi       
istio-system                   ratelimit                                          statsd-exporter           10m          1            20Mi         1Gi         
istio-system                   zipkin                                             zipkin                    -            -            -            -           
karpenter                      karpenter                                          controller                -            -            -            -           
keda                           keda-admission-webhooks                            keda-admission-webhooks   100m         1            100Mi        1000Mi      
keda                           keda-operator                                      keda-operator             100m         1            100Mi        1000Mi      
keda                           keda-operator-metrics-apiserver                    keda-operator-metrics-apiserver 100m         1            100Mi        1000Mi      
kube-system                    aws-alb-ingress-controller-aws-load-balancer-controller aws-load-balancer-controller -            -            -            -           
kube-system                    coredns                                            coredns                   100m         -            70Mi         170Mi       
kube-system                    ebs-csi-controller                                 ebs-plugin                10m          -            40Mi         256Mi       
kube-system                    ebs-csi-controller                                 csi-provisioner           10m          -            40Mi         256Mi       
kube-system                    ebs-csi-controller                                 csi-attacher              10m          -            40Mi         256Mi       
kube-system                    ebs-csi-controller                                 csi-snapshotter           10m          -            40Mi         256Mi       
